"[1, 2, 5, 3, 4, 1]",183,44,0.0,0.0
"[1, 2, 7, 8, 3, 5, 6, 10, 9, 4, 1]",299,36449,0.125,0.14706850051879883
"[1, 13, 6, 14, 7, 9, 10, 12, 4, 8, 3, 11, 2, 5, 15, 1]",285,20119296,1040.125,3097.8858032226562
10 hours
