"[1, 4, 2, 3, 5, 1]",242,47,0.0,0.0009970664978027344
"[1, 2, 4, 3, 5, 1]",282,53,0.0,0.0
"[1, 2, 3, 5, 4, 1]",200,24,0.0,0.0
"[1, 2, 4, 5, 3, 1]",108,14,0.0,0.0
"[1, 2, 4, 3, 5, 1]",275,66,0.0,0.0
"[1, 3, 2, 5, 4, 1]",174,26,0.0,0.0
"[1, 4, 2, 3, 5, 1]",173,10,0.0,0.0009987354278564453
"[1, 2, 3, 4, 5, 1]",170,19,0.0,0.0
"[1, 2, 4, 5, 3, 1]",231,42,0.0,0.0009999275207519531
"[1, 2, 5, 3, 4, 1]",163,24,0.0,0.0
"[1, 2, 5, 3, 4, 1]",248,16,0.0,0.0010013580322265625
"[1, 2, 5, 4, 3, 1]",292,40,0.0,0.0
"[1, 4, 2, 3, 5, 1]",197,25,0.0,0.0
"[1, 3, 2, 5, 4, 1]",244,54,0.0,0.0
"[1, 3, 5, 2, 4, 1]",203,28,0.0,0.0
"[1, 2, 3, 5, 4, 1]",166,16,0.0,0.0
"[1, 2, 3, 5, 4, 1]",181,18,0.0,0.0
"[1, 3, 2, 4, 5, 1]",173,25,0.0,0.0
"[1, 3, 2, 4, 5, 1]",128,14,0.0,0.0
"[1, 3, 2, 4, 5, 1]",207,20,0.0,0.0
"[1, 2, 4, 5, 3, 1]",180,20,0.0,0.0
"[1, 3, 2, 5, 4, 1]",173,34,0.0,0.0
"[1, 2, 4, 3, 5, 1]",161,23,0.0,0.0
"[1, 2, 3, 5, 4, 1]",187,14,0.0,0.0
"[1, 3, 2, 4, 5, 1]",167,18,0.0,0.0
"[1, 3, 2, 4, 5, 1]",230,19,0.0,0.0
"[1, 2, 4, 5, 3, 1]",155,17,0.0,0.0
"[1, 4, 3, 2, 5, 1]",314,53,0.0,0.0
"[1, 3, 5, 2, 4, 1]",214,16,0.0,0.0
"[1, 2, 4, 3, 5, 1]",212,15,0.0,0.0
"[1, 3, 8, 10, 5, 9, 2, 6, 4, 7, 1]",265,566,0.015625,0.012471199035644531
"[1, 2, 9, 3, 7, 6, 4, 8, 10, 5, 1]",279,317,0.0,0.013807058334350586
"[1, 3, 8, 5, 9, 10, 2, 6, 4, 7, 1]",312,1048,0.015625,0.014992237091064453
